Category: Health
TOP
hospital,100
farmacia,82
adse,49
oculos,48
meo,46
farmácia,40
twitch,40
tempo,36
doença,27
adse direta,26
google,26
cuf,24
prozis,23
lusiadas,21
wells,20
cha,15
continente,15
creatina,15
youtube,14
trofa saude,14
chatgpt,13
diarreia,13
brufen,13
hospital da luz,13
magnesio,13

RISING
aviso de temperatura elevada moderada,Breakout
hantavirus,Breakout
terra forte,"+4,550%"
oculos eclipse solar,"+3,800%"
mundial da fifa 2026,"+2,400%"
primeira companhia,"+2,000%"
mounjaro,"+1,200%"
́spotify premium,+900%
multiópticas,+650%
medicube,+650%
gemini,+550%
luis jardim,+500%
hacco,+450%
firmo,+250%
norovirus,+200%
sword health,+160%
serviço nacional de saúde,+150%
manie,+140%
gpt,+130%
perimenopausa,+130%
chatgpt,+130%
chat gpt,+120%
hsn,+120%
chat,+120%
alimento,+110%

