"query","search interest","increase percent"
"alimentação saudável",100,"40%"
"alimentação saudavel",83,"-50%"
"dia da alimentação",23,"20%"
"o que é alimentação",23,"30%"
"cadeira alimentação",19,"100%"
"nutrição",18,"-5%"
"alimentação bebe",15,"20%"
"dgs alimentação",15,"-30%"
"dia mundial da alimentação",14,"4%"
"alimentação diabetes",13,"-10%"
"alimentação equilibrada",13,"-10%"
"diabetes alimentação",13,"-10%"
"alimentação e nutrição",12,"-2%"
"o que é a alimentação",11,"60%"
"boa alimentação",11,"-9%"
"roda dos alimentos",10,"-20%"
"cadeira de alimentação",10,"80%"
"alimentação infantil",9,"-8%"
"santander alimentação",9,"120%"
"santander",9,"120%"
"chicco",8,"50%"
"cadeira chicco alimentação",8,"60%"
"cadeira alimentação chicco",8,"60%"
"má alimentação",8,"-10%"
"roda da alimentação",8,"-10%"
"alimentação parentérica",8,"10%"
"alimentação para emagrecer",8,"-40%"
"cadeira alimentação bebe",7,"100%"
"peg",7,"50%"
"importância da alimentação",6,"80%"
"alimentação entérica",6,"-20%"
"nutrientes",5,"20%"
"anemia alimentação",5,"20%"
"o que é alimentação saudável",5,"20%"
"dgs alimentação saudavel",5,"-30%"
"tipos de alimentação",5,"-9%"
"alimentação para diabeticos",5,"-20%"
"alimentação para diabetes",5,"-7%"
"cadeira de alimentação bebe",4,"90%"
"alimentação blw",4,"50%"
"cadeira de alimentação chicco",3,"20%"
"alimentação enteral",3,"80%"
"blw alimentação",3,"50%"
"alimentação anti inflamatória",3,"700%"
"alimentacao saudavel",3,"-30%"
"dieta mediterrânica",3,"60%"
"alimentação saudavel o que é",3,"-40%"
"o que é uma alimentação saudável",3,"40%"
"doença de crohn alimentação",3,"-40%"
"alimentação para anemia",3,"20%"
