id,eyebrow,title,text
dgs,"Parceiros Institucionais","DGS — Direcção-Geral da Saúde","A DGS é uma fonte primária de informação científica validada. O projecto utiliza os seus comunicados, orientações clínicas e alertas de saúde pública como base para a monitorização de tendências e validação do conteúdo produzido."
sns,"Parceiros Institucionais","SNS — Serviço Nacional de Saúde","O SNS fornece dados epidemiológicos, estatísticas de saúde e informação institucional que alimentam os eixos temáticos do dashboard."
rtp,Amplificação,RTP,"Parceiro de amplificação com potencial para co-produção de conteúdo ou divulgação junto de públicos mais alargados através dos canais digitais e televisivos."
plataforma,Núcleo,Plataforma,"O centro do projecto. Agrega o dashboard privado de monitorização de tendências, o arquivo de guiões e o sistema de verificação de mitos. É a ferramenta de estratégia que alimenta todos os canais de comunicação."
instagram,"Canal de Distribuição",Instagram,"Canal de distribuição para públicos jovens e adultos. O formato Diz que Disse — vox pop + dupla científica — é especialmente adequado para Reels e Stories."
tiktok,"Canal de Distribuição",TikTok,"Canal de distribuição para públicos mais jovens. O formato curto e dinâmico é ideal para os vídeos vox pop."
youtube,"Canal de Distribuição",YouTube,"Canal de distribuição e arquivo permanente para conteúdo mais longo e aprofundado, complementando o site."
conversa,"Ecossistema Público","Conversa em Dia","Formato de encontro presencial com especialistas e público geral. Sessões de conversa sobre temas de saúde actuais, com mediação científica."
academia,"Ecossistema Público",Academia,"Parceria com universidades e centros de investigação para produção e validação de conteúdo científico."
bairros,"Ecossistema Público",Bairros,"Iniciativa de proximidade que leva informação de saúde com fundamento científico a comunidades locais."
centros,"Ecossistema Público","Centros de Saúde","Colaboração com centros de saúde do SNS para distribuição de conteúdo informativo validado nos espaços de espera e consultas."
ccp,Extensões,"Comunidade Científica Portuguesa","Extensão futura que prevê certificados de competências para profissionais e instituições que participem na validação de conteúdo científico."
voz,Extensões,"Assistente Virtual Voz","Interface de voz para acesso a informação de saúde validada — qualquer utilizador pode fazer perguntas e receber respostas em formato áudio."
app,"Ecossistema Digital","Diz que Disse","Serve como uma arma de bolso científica, que corre nos telemóveis e arquiva a revisão de pares. Permite ao utilizador pesquisar temas e aceder a respostas com fundamento científico em qualquer circunstância."
site,"Ecossistema Digital",Site,"O arquivo público do projecto. Arquiva todos os conteúdos (vídeos, textos e verificações) produzidos. Expõe conteúdos do https://www.sns24.gov.pt/pt/info-saude do SNS mas de uma forma mais dinâmica. O que é distribuído pelas redes sociais tem sempre o site como destino e fonte original. O próprio site serve como veículo para chegar a instituições e repositórios na área de ciências da saúde."
