"query","search interest","increase percent"
"jejum intermitente 16/8",11,"Breakout"
"calcular jejum intermitente",6,"Breakout"
"como fazer o jejum intermitente para emagrecer",5,"Breakout"
"jejum intermitente na menopausa",5,"Breakout"
"como fazer jejum intermitente para emagrecer rápido",4,"Breakout"
"como funciona o jejum intermitente",2,"Breakout"
"jejum intermitente na gravidez",2,"Breakout"
"o que não quebra o jejum intermitente",2,"Breakout"
"tabela de jejum intermitente para iniciantes",1,"Breakout"
"dieta cetogênica",7,"600%"
"app jejum intermitente grátis",12,"550%"
"jejum intermitente gratuito",14,"500%"
"jejum intermitente 14h",9,"400%"
"app grátis jejum intermitente",11,"400%"
"como quebrar jejum intermitente",15,"300%"
"jejum intermitente grátis",18,"300%"
"como se faz o jejum intermitente",6,"300%"
"autofagia",7,"250%"
"jejum intermitente app gratuito",6,"250%"
"tabela jejum intermitente",9,"250%"
"como quebrar o jejum intermitente",14,"250%"
"app jejum intermitente gratuito",6,"250%"
"jejum intermitente tabela",8,"200%"
"jejum intermitente como fazer para emagrecer",26,"180%"
"como fazer jejum intermitente para emagrecer",26,"160%"
"quebrar jejum intermitente",27,"150%"
"jejum intermitente para emagrecer",53,"140%"
"jejum intermitente app",42,"120%"
"jejum intermitente 16h",54,"120%"
"jejum intermitente todos os dias",14,"110%"
"fazer jejum intermitente",100,"110%"
"app jejum intermitente",40,"110%"
"cetose jejum intermitente",9,"90%"
"como fazer jejum intermitente",53,"90%"
"jejum intermitente funciona",22,"90%"
"jejum intermitente como fazer",51,"90%"
"jejum intermitente em ingles",2,"80%"
"jejum intermitente benefícios",6,"80%"
"fases do jejum intermitente",3,"70%"
"dieta para emagrecer",7,"70%"
"cetose",9,"70%"
"jejum intermitente o que é",71,"60%"
"jejum intermitente 12h",18,"60%"
"o que é jejum intermitente",71,"60%"
"o que é o jejum intermitente",71,"50%"
"jejum intermitente horários",1,"50%"
"o que e jejum intermitente",11,"50%"
"jejum intermitente 24 horas",5,"50%"
"plano de jejum intermitente",6,"50%"
"o que quebra o jejum intermitente",4,"40%"
