id,tema,created_at,subtema,pergunta,resposta,referencia_cientifica,ordem,referencia_url
6998ff57-ae5d-468d-8195-b35854fc8936,saude_mental,"2026-03-08 20:22:16.446111+00",Ansiedade,"É normal ter ansiedade todos os dias?","É comum sentir ansiedade ocasional, mas ansiedade diária persistente pode indicar uma perturbação de ansiedade generalizada que beneficia de acompanhamento profissional.","APA - Diagnostic and Statistical Manual of Mental Disorders (DSM-5), 2013",1,
b9fdbab9-06bd-4c04-a6f4-1e25eed43377,saude_mental,"2026-03-08 20:22:16.446111+00",Ansiedade,"O que fazer numa crise de pânico?","Respirar lentamente, focar-se num objeto, lembrar que o ataque é temporário. Se os episódios forem recorrentes, procurar ajuda psicológica.","NHS UK - Panic disorder treatment guidelines, 2023",2,
65af82e7-4dc8-482d-8581-9300d1f5c300,saude_mental,"2026-03-08 20:22:16.446111+00",Ansiedade,"Meditação ajuda na ansiedade?","Estudos mostram que a meditação mindfulness pode reduzir sintomas de ansiedade, embora não substitua tratamento clínico em casos moderados a graves.","Goyal et al. - JAMA Internal Medicine, 2014",3,
7874a4bf-0fd0-4ec9-bb3f-bbd3b3b35085,saude_mental,"2026-03-08 20:22:16.446111+00",Ansiedade,"Como lidar com insónia causada por stress?","Higiene do sono (horários regulares, evitar ecrãs), técnicas de relaxamento e, se persistir, consultar um profissional para excluir perturbações do sono.","European Sleep Research Society Guidelines, 2023",4,
4ecbad8b-aca9-4dcd-8748-ce49e73e60d2,saude_mental,"2026-03-08 20:22:16.446111+00","Esgotamento Profissional","Como saber se tenho burnout?","Burnout manifesta-se por exaustão emocional, despersonalização e redução da eficácia profissional. É reconhecido pela OMS como fenómeno ocupacional.","OMS - CID-11, QD85 Burnout, 2019",5,
e5017829-2307-4448-8b47-ee287277ebd7,saude_mental,"2026-03-08 20:22:16.446111+00","Depressão e Humor","Quais são os sintomas de depressão em jovens?","Tristeza persistente, perda de interesse, alterações no sono e apetite, isolamento social, irritabilidade e dificuldade de concentração.","NICE Guidelines - Depression in children and young people, 2019",6,
12dc6ef0-74f1-40ec-9fbc-38a7c215142f,saude_mental,"2026-03-08 20:22:16.446111+00","Depressão e Humor","Porque é que choro sem motivo?","Pode estar associado a fadiga emocional, stress acumulado, alterações hormonais ou sinais precoces de depressão. Vale a pena falar com um profissional.","Harvard Health Publishing - Understanding crying, 2022",7,
f96bfadf-8f21-4ca7-9373-f40b37de7b54,saude_mental,"2026-03-08 20:22:16.446111+00","Depressão e Humor","O que é dissociação emocional?","É uma desconexão entre pensamentos, sentimentos e ambiente. Pode ocorrer como mecanismo de defesa perante trauma ou stress intenso.","APA - Dissociative Disorders Fact Sheet, 2021",8,
9c858ac2-9b4f-4899-9eaf-01f0988d99f6,saude_mental,"2026-03-08 20:22:16.446111+00","Depressão e Humor","Como ajudar alguém com pensamentos suicidas?","Ouvir sem julgar, não deixar a pessoa sozinha, encorajar a procurar ajuda profissional. Linha SNS 24: 808 200 204.","DGS - Programa Nacional de Prevenção do Suicídio, 2023",9,
d936681b-e024-43cb-a694-40e9e6bd3b0c,saude_mental,"2026-03-08 20:22:16.446111+00",Neurodivergência,"Posso ter TDAH e não saber?","Sim. O TDAH em adultos é frequentemente subdiagnosticado. Sintomas incluem dificuldade de concentração, impulsividade e desorganização crónica.","Faraone et al. - Nature Reviews Disease Primers, 2015",10,
610c06ca-cb8e-43ab-bd0d-c86d38c1c967,saude_mental,"2026-03-08 20:22:16.446111+00","Acesso a Tratamento","Como funciona a terapia online?","Sessões por videochamada com psicólogo licenciado. Estudos mostram eficácia comparável à terapia presencial para ansiedade e depressão.","Andersson et al. - World Psychiatry, 2019",11,
e90bb95a-9625-4129-9ea8-ff4acaf12cf5,saude_mental,"2026-03-08 20:22:16.446111+00","Acesso a Tratamento","Qual a diferença entre psicólogo e psiquiatra?","O psicólogo faz psicoterapia; o psiquiatra é médico e pode prescrever medicação. Frequentemente trabalham em conjunto.","Ordem dos Psicólogos Portugueses, 2023",12,
a866b69c-9801-425f-902e-e93f44d63009,alimentacao,"2026-03-08 20:22:16.446111+00","Ultraprocessados e Açúcar","O que são alimentos ultraprocessados?","Produtos industriais com muitos aditivos, pouco valor nutricional. Associados a maior risco de obesidade, diabetes e doenças cardiovasculares.","Monteiro et al. - NOVA classification, Public Health Nutrition, 2019",13,
66467379-9895-4484-8d09-3d3f377f72d3,alimentacao,"2026-03-08 20:22:16.446111+00","Ultraprocessados e Açúcar","O açúcar causa inflamação no corpo?","O consumo excessivo de açúcar pode promover inflamação crónica de baixo grau, associada a diversas doenças metabólicas.","Minihane et al. - British Journal of Nutrition, 2015",14,
9d45f772-fbaa-4d98-b8d2-dff40dd87cfe,alimentacao,"2026-03-08 20:22:16.446111+00","Ultraprocessados e Açúcar","Como ler rótulos de alimentos corretamente?","Verificar a lista de ingredientes (por ordem decrescente), valor energético, açúcares, gorduras saturadas e sal por 100g.","DGS - Guia de Rotulagem Alimentar, 2022",15,
a70a8f7f-0510-4c34-a1be-71aab9301ec7,alimentacao,"2026-03-08 20:22:16.446111+00","Dietas Populares","Como fazer jejum intermitente de forma segura?","Consultar profissional de saúde, manter hidratação, não restringir nutrientes essenciais. Contraindicado em grávidas, crianças e pessoas com perturbações alimentares.","de Cabo & Mattson - NEJM, 2019",16,
e3f69753-6c53-4e2a-a0d8-1eba19ca5d9f,alimentacao,"2026-03-08 20:22:16.446111+00","Dietas Populares","O que é a dieta mediterrânica?","Padrão alimentar rico em frutas, vegetais, azeite, peixe e cereais integrais. Associada a menor risco cardiovascular e maior longevidade.","Estruch et al. - PREDIMED Trial, NEJM, 2018",17,
03424527-656c-45c8-a625-29b5c1655085,alimentacao,"2026-03-08 20:22:16.446111+00","Alergias e Intolerâncias","Quais são os sintomas de intolerância ao glúten?","Inchaço, dor abdominal, diarreia, fadiga. A doença celíaca requer diagnóstico médico com análises e biópsia.","ESPGHAN Guidelines - Celiac Disease, 2020",18,
e2943127-4131-463d-a9ff-9a676a811ec7,alimentacao,"2026-03-08 20:22:16.446111+00","Alergias e Intolerâncias","É verdade que o leite faz mal?","Para a maioria das pessoas, o leite é um alimento nutritivo. Pessoas com intolerância à lactose ou alergia devem evitá-lo e procurar alternativas.","EFSA - Scientific Opinion on Lactose, 2010",19,
6f063e93-3207-457f-968e-3aa826418d7c,alimentacao,"2026-03-08 20:22:16.446111+00","Alimentação Vegetal","Posso substituir proteína animal por vegetal?","Sim, combinando leguminosas, cereais, frutos secos e sementes é possível obter todos os aminoácidos essenciais.","Craig & Mangels - American Dietetic Association, Position Paper, 2009",20,
938e4a05-5f51-4363-94a1-3d6859f51ef4,alimentacao,"2026-03-08 20:22:16.446111+00","Alimentação Vegetal","Quais os riscos de comer muita carne vermelha?","Consumo excessivo está associado a maior risco de cancro colorretal, doenças cardiovasculares e diabetes tipo 2.","IARC - Monographs on Red and Processed Meat, 2015",21,
cc831959-fad8-4a57-9923-ddfc1d6e4383,alimentacao,"2026-03-08 20:22:16.446111+00",Suplementação,"É seguro tomar suplementos de vitamina D?","Em doses recomendadas, sim. Excesso pode causar toxicidade. Deve ser avaliado por análise sanguínea antes de suplementar.","Endocrine Society Clinical Practice Guideline, 2011",22,
cd14d0f5-e44a-417a-9455-a88ca4087cfb,alimentacao,"2026-03-08 20:22:16.446111+00",Suplementação,"Como saber se tenho défice de ferro?","Sintomas incluem fadiga, palidez, falta de ar. Confirma-se com análise de sangue (ferritina e hemograma).","WHO - Iron deficiency anaemia assessment, 2001",23,
5d56a0d5-a7ea-4305-b701-d5dc837e13b5,alimentacao,"2026-03-08 20:22:16.446111+00",Suplementação,"Probióticos ajudam na digestão?","Alguns estirpes específicos podem ajudar em certas condições gastrointestinais, mas não são solução universal.","WGO - Global Guidelines on Probiotics, 2023",24,
f905b895-bb52-43a1-baf3-8cd3f9235367,menopausa,"2026-03-08 20:22:16.446111+00","Sintomas da Menopausa","Como saber se estou na menopausa?","A menopausa confirma-se após 12 meses sem menstruação. Sintomas comuns: afrontamentos, alterações de humor, insónia.","NICE Guidelines - Menopause diagnosis and management, 2015",25,
e115fddd-27b9-4754-939b-90109d81a3b0,menopausa,"2026-03-08 20:22:16.446111+00","Sintomas da Menopausa","Como aliviar os suores noturnos?","Roupa leve, quarto fresco, evitar álcool e alimentos picantes. TH pode ser considerada em casos severos.","North American Menopause Society - Position Statement, 2022",26,
beebd54f-1a27-4868-abca-397865f2e64d,menopausa,"2026-03-08 20:22:16.446111+00","Sintomas da Menopausa","A menopausa afeta a saúde mental?","Sim. Alterações hormonais podem causar ou agravar ansiedade, depressão e irritabilidade. Acompanhamento é recomendado.","Maki et al. - Journal of Women's Health, 2019",27,
43e39fdd-7d65-4185-9fc2-e1f20f73d349,menopausa,"2026-03-08 20:22:16.446111+00","Sintomas da Menopausa","O que é a perimenopausa e quanto dura?","Fase de transição antes da menopausa, com ciclos irregulares e sintomas variáveis. Pode durar 4 a 8 anos.","Harlow et al. - STRAW+10, Climacteric, 2012",28,
