id,question,growth_percent,relative_volume,axis,axis_label,cluster,is_question,keyword_id,source,last_seen_at,updated_at
0016af43-5aa7-4cbf-be90-ad6d6220afa1,"autism burnout symptoms",2300,92,saude-mental,"Saúde Mental",burnout,f,,pytrends,"2026-08-24 07:14:33.412583+00","2026-08-24 07:14:33.412583+00"
00adbb99-4722-4d91-95c4-e0e82f95199a,"brintellix ansiedade",3100,84,saude-mental,"Saúde Mental",ansiedade,f,,pytrends,"2026-06-29 11:19:07.268933+00","2026-06-29 11:19:07.268933+00"
00c926d4-227a-46ac-9805-7bab7729b1f5,"como quebrar o jejum intermitente",9999,92,alimentacao,Alimentação,"jejum intermitente",t,,pytrends,"2026-05-25 10:37:26.200527+00","2026-05-25 10:37:26.200527+00"
00e184e6-e9e1-4e0b-b0b0-656a581773e4,"endometriose symptome",3050,100,menopausa,Menopausa,endometriose,f,,pytrends,"2026-09-09 16:21:04.83949+00","2026-09-09 16:21:04.83949+00"
012542ea-d1be-482e-8ea1-1ee603a23d61,"anemia microcítica e hipocrómica",9999,84,alimentacao,Alimentação,anemia,f,,pytrends,"2026-08-10 08:09:12.364933+00","2026-08-10 08:09:12.364933+00"
01e24223-538b-486f-a6a2-3606aa9f0f18,"burnout game",200,44,saude-mental,"Saúde Mental",burnout,f,,pytrends,"2026-03-27 18:34:47.925931+00","2026-03-23 07:31:17.719322+00"
01f448bf-28d6-42f6-89b9-722ececf7b6b,"tipos de anemia",90,10,alimentacao,Alimentação,anemia,f,,pytrends,"2026-05-25 10:26:49.611587+00","2026-05-25 10:26:49.611587+00"
02102b1c-80d8-491d-b7d2-d8e335ba2c40,"sinais de demência precoce",9999,92,saude-mental,"Saúde Mental",demência,f,,pytrends,"2026-09-07 12:14:18.658317+00","2026-09-07 12:14:18.658317+00"
027cb83a-52f2-4e21-877b-c0e307fa446c,"sintomas da endometriose",100,92,menopausa,Menopausa,endometriose,t,,pytrends,"2026-09-07 12:06:20.969294+00","2026-09-07 12:06:20.969294+00"
029c6268-0c8a-4ceb-adc4-d401fa99fa4f,"candidíase intestinal",190,12,menopausa,Menopausa,candidíase,f,,pytrends,"2026-03-28 00:21:27.712069+00","2026-03-28 00:21:27.712069+00"
02e93e40-7326-4a89-836f-3e7fd6d2e634,"sintomas de depressão",50,10,saude-mental,"Saúde Mental",depressão,t,,pytrends,"2026-08-17 07:13:55.134161+00","2026-08-17 07:13:55.134161+00"
030e783c-0e6d-412e-94f9-c351b9671533,"pânico 7 data de lançamento",9999,100,saude-mental,"Saúde Mental",pânico,f,,pytrends,"2026-06-01 11:53:24.742733+00","2026-06-01 11:53:24.742733+00"
039061a2-1689-4f39-8758-00ddcf1c0db9,"burnout sintomas físicos",2750,60,saude-mental,"Saúde Mental",burnout,f,,pytrends,"2026-03-27 18:34:47.925931+00","2026-03-23 07:31:17.719255+00"
039c2708-1bce-4938-863f-77eff12638ed,"suicídio viseu",9999,100,saude-mental,"Saúde Mental",suicídio,f,,pytrends,"2026-06-29 11:18:56.634374+00","2026-06-29 11:18:56.634374+00"
03a601fc-0c83-43d1-b417-b1d303f9a649,"piramide da dieta mediterrânica",9999,100,alimentacao,Alimentação,"dieta mediterrânica",f,,pytrends,"2026-05-18 10:31:37.254909+00","2026-05-18 10:31:37.254909+00"
03bc0ac6-d0a7-4ee6-a977-bb0420bcea3e,"avc lado direito",120,44,emergentes,Emergentes,avc,f,,pytrends,"2026-06-08 11:21:55.134642+00","2026-06-08 11:21:55.134642+00"
0491fc97-ea59-416a-8126-80b76fb8987f,"depressão barométrica",3500,68,saude-mental,"Saúde Mental",depressão,f,,pytrends,"2026-05-18 10:33:24.821943+00","2026-05-18 10:33:24.821943+00"
0537b81c-b431-4c25-b7c0-b8fc1c39ae47,"anemia perniciosa o que é",9999,92,alimentacao,Alimentação,anemia,f,,pytrends,"2026-09-14 12:25:02.428334+00","2026-09-14 12:25:02.428334+00"
054f2cad-65cd-46e1-a80e-303ac695e931,"quais são os sintomas de anemia",1550,36,alimentacao,Alimentação,anemia,t,,pytrends,"2026-09-14 12:25:02.428334+00","2026-09-14 12:25:02.428334+00"
058b3ee6-f8d6-42b4-b397-5586d0c2ef2b,"sepsis meaning",9999,100,emergentes,Emergentes,sepsis,f,,pytrends,"2026-06-01 11:53:35.893388+00","2026-06-01 11:53:35.893388+00"
0606d99b-34ad-44c2-b590-6cde350ea172,"arkorelax stress control",7200,52,saude-mental,"Saúde Mental",stress,f,,pytrends,"2026-08-17 07:06:21.376046+00","2026-08-17 07:06:21.376046+00"
062580b9-bd20-4f0a-b4ac-f871f30024fd,"sofa score sepsis",9999,100,emergentes,Emergentes,sepsis,f,,pytrends,"2026-08-03 10:08:29.756335+00","2026-08-03 10:08:29.756335+00"
063de441-b09a-4dd4-a6bb-6e21d68d44f3,"anemia por deficiência de ferro",800,20,alimentacao,Alimentação,anemia,f,,pytrends,"2026-09-14 12:25:02.428334+00","2026-09-14 12:25:02.428334+00"
0679b457-69f7-4b36-8d9c-366803823d21,"endometriose e adenomiose",400,20,menopausa,Menopausa,endometriose,f,,pytrends,"2026-03-28 00:20:14.303314+00","2026-03-28 00:20:14.303314+00"
0746cd02-d893-4927-9ab1-1e4fd4f73093,"como tratar candidíase",40,52,menopausa,Menopausa,candidíase,t,,pytrends,"2026-09-09 16:20:54.165275+00","2026-09-09 16:20:54.165275+00"
074d65f9-975d-4e9e-bb3a-1ba0c4c11151,"sinais de alzheimer",100,28,saude-mental,"Saúde Mental",alzheimer,f,,pytrends,"2026-06-01 12:03:04.636423+00","2026-06-01 12:03:04.636423+00"
0753812b-2aa0-422d-8f93-91f6ded3d27e,"remédio para candidíase",60,76,menopausa,Menopausa,candidíase,f,,pytrends,"2026-09-14 12:21:43.88562+00","2026-09-14 12:21:43.88562+00"
077830b5-3b2e-4dbd-8320-5be392c30aa1,"aplastic anemia",170,10,alimentacao,Alimentação,anemia,f,,pytrends,"2026-09-14 12:25:02.428334+00","2026-09-14 12:25:02.428334+00"
078c2976-ee6d-40c7-9b35-7a4fcb057e2d,"what is sepsis",50,84,emergentes,Emergentes,sepsis,f,,pytrends,"2026-09-09 16:18:54.332099+00","2026-09-09 16:18:54.332099+00"
07dc99c9-105a-4280-8c03-3d74f0ca8f64,"ansiedade o que fazer",50,10,saude-mental,"Saúde Mental",ansiedade,f,,pytrends,"2026-06-29 11:19:07.268933+00","2026-06-29 11:19:07.268933+00"
07e40180-f569-4b56-a30c-1493b222e82e,"stress hídrico",9999,100,saude-mental,"Saúde Mental",stress,f,,pytrends,"2026-05-04 08:53:20.835465+00","2026-05-04 08:53:20.835465+00"
082f366a-d0d3-4fe1-b687-1baaced48e7b,"significado de burnout",120,68,saude-mental,"Saúde Mental",burnout,f,,pytrends,"2026-09-14 12:27:01.237878+00","2026-09-14 12:27:01.237878+00"
092e7c44-c9b5-453b-82a0-5a4f978c7fbe,"nihss avc",7100,36,emergentes,Emergentes,avc,f,,pytrends,"2026-05-25 10:34:39.211269+00","2026-05-25 10:34:39.211269+00"
09388038-b889-40ea-b8cf-9a120418cce2,"avc hemorrágico causas",900,60,emergentes,Emergentes,avc,f,,pytrends,"2026-06-01 12:01:37.236509+00","2026-06-01 12:01:37.236509+00"
0943828c-dcd4-48d1-99f0-3bf42b0126f5,"chris hemsworth alzheimer",3700,76,saude-mental,"Saúde Mental",alzheimer,f,,pytrends,"2026-08-24 07:15:26.113764+00","2026-08-24 07:15:26.113764+00"
0962a8be-5ba3-4066-b9bb-24c9730e5fad,"terapia hormonal de substituição",40,100,menopausa,Menopausa,"terapia hormonal",f,,pytrends,"2026-05-25 10:28:08.323729+00","2026-05-25 10:28:08.323729+00"
09a64a82-7ede-465d-a350-95ef39ddf0e2,"demência por corpos de lewy",9999,100,saude-mental,"Saúde Mental",demência,f,,pytrends,"2026-06-29 11:28:06.629017+00","2026-06-29 11:28:06.629017+00"
09ce65dd-615d-4e02-aa5e-686cff95f104,"remédio para enxaqueca forte",3350,76,saude-mental,"Saúde Mental",enxaqueca,f,,pytrends,"2026-08-24 07:11:28.252703+00","2026-08-24 07:11:28.252703+00"
09d48b5e-4c60-4479-bfbc-a7379ec3ac96,"colesterol alto o que fazer",50,100,alimentacao,Alimentação,"colesterol alto",f,,pytrends,"2026-09-09 16:32:36.883457+00","2026-09-09 16:32:36.883457+00"
0a5158aa-83c4-4b18-9d87-1b2a79858b0a,"tou avc",9999,76,emergentes,Emergentes,avc,f,,pytrends,"2026-09-14 12:30:38.946859+00","2026-09-14 12:30:38.946859+00"
0a7a57a1-7c78-4467-b443-60b98391bb21,"ginecologista especialista em endometriose",9999,92,menopausa,Menopausa,endometriose,f,,pytrends,"2026-04-20 08:30:47.705551+00","2026-04-20 08:30:47.705551+00"
0af964da-2b94-4c83-b823-5f2ab466bada,"o que é a demência",70,60,saude-mental,"Saúde Mental",demência,t,,pytrends,"2026-05-25 10:37:05.490673+00","2026-05-25 10:37:05.490673+00"
0b975468-4d7e-4576-a119-8e7bc0ac7519,adenomiose,40,10,menopausa,Menopausa,endometriose,f,,pytrends,"2026-03-28 00:20:14.303314+00","2026-03-28 00:20:14.303314+00"
0cdf2c72-df1b-4485-a4ae-58d1d0487b96,"ataques de pânico",50,20,saude-mental,"Saúde Mental",pânico,f,,pytrends,"2026-03-28 00:10:49.855777+00","2026-03-28 00:10:49.855777+00"
0d351298-2da8-4aea-ab27-e30a800a007a,"qual a diferença entre demencia e alzheimer",2100,68,saude-mental,"Saúde Mental",alzheimer,t,,pytrends,"2026-05-25 10:36:02.900439+00","2026-05-25 10:36:02.900439+00"
0d36c064-80a5-4e88-9ccb-51f4603af5fd,"alimentos ricos em ferro para anemia",50,10,alimentacao,Alimentação,anemia,f,,pytrends,"2026-09-14 12:25:02.428334+00","2026-09-14 12:25:02.428334+00"
0d586937-1cac-4ba8-a49d-f7a960f07e80,"anemia microcítica",90,12,alimentacao,Alimentação,anemia,f,,pytrends,"2026-09-09 16:24:05.190877+00","2026-09-09 16:24:05.190877+00"
0d872704-fac4-4a49-b8bb-1e2a7bfb2229,"depressão a caminho de portugal",2200,76,saude-mental,"Saúde Mental",depressão,f,,pytrends,"2026-08-17 07:13:55.134161+00","2026-08-17 07:13:55.134161+00"
0da06869-f964-4d93-a599-7e347532c891,"sindrome burnout",50,60,saude-mental,"Saúde Mental",burnout,f,,pytrends,"2026-03-30 08:00:22.557375+00","2026-03-30 08:00:22.557375+00"
0db856d8-6aa2-4874-9272-e9107e3a28e9,"como funciona o jejum intermitente",9999,92,alimentacao,Alimentação,"jejum intermitente",t,,pytrends,"2026-09-07 12:13:15.580219+00","2026-09-07 12:13:15.580219+00"
0dd3181b-06b4-45e3-a38d-3c18d8a334aa,"corrimento de candidíase",100,84,menopausa,Menopausa,candidíase,f,,pytrends,"2026-08-24 07:09:29.985306+00","2026-08-24 07:09:29.985306+00"
0dee68d4-bb54-4326-9b1f-bc41c6455074,"anemia megaloblástica",70,10,alimentacao,Alimentação,anemia,f,,pytrends,"2026-08-24 07:12:40.609206+00","2026-08-24 07:12:40.609206+00"
0e3fc064-4b5c-4f2d-9630-a98b7d85f6ea,"sinais de cancro da mama",9999,100,menopausa,Menopausa,"cancro da mama",f,,pytrends,"2026-09-14 12:24:07.877063+00","2026-09-14 12:24:07.877063+00"
0e43a5fc-2ec6-4887-8c42-223e07cf9625,"o que e burnout síndrome",2850,92,saude-mental,"Saúde Mental",burnout,t,,pytrends,"2026-03-28 00:10:39.19463+00","2026-03-28 00:10:39.19463+00"
0e51bcf3-244d-4f92-a594-2bcd56aed81a,"sintomas de avc em homem",1250,36,emergentes,Emergentes,avc,t,,pytrends,"2026-03-30 08:05:39.827249+00","2026-03-30 08:05:39.827249+00"
0eaad054-bd0a-498a-96c4-c55ead206043,"causas de enxaqueca",80,12,saude-mental,"Saúde Mental",enxaqueca,t,,pytrends,"2026-03-28 00:18:52.271444+00","2026-03-28 00:18:52.271444+00"
0ed86b84-9f0a-4178-ab4e-0d0c61f56e33,"candidíase recorrente",9999,92,menopausa,Menopausa,candidíase,f,,pytrends,"2026-06-29 11:19:59.62961+00","2026-06-29 11:19:59.62961+00"
0efca0a1-52e0-4f52-a7a1-cd4a9d49083a,"anemia alimentos recomendados",1850,12,alimentacao,Alimentação,anemia,f,,pytrends,"2026-04-06 08:09:28.02802+00","2026-04-06 08:09:28.02802+00"
0f2cdb80-755b-41e0-ab75-df9cac8f9497,"depressão marta",4800,10,saude-mental,"Saúde Mental",depressão,f,,pytrends,"2026-03-27 18:34:47.925931+00","2026-03-23 07:30:10.111538+00"
0f4be849-a45b-49da-9e71-c195a4c7a7a1,"avc significado",60,10,emergentes,Emergentes,avc,f,,pytrends,"2026-03-27 18:34:47.925931+00","2026-03-23 07:36:16.114103+00"
0f6412ed-7e8e-4056-a136-05aaef919dfb,"beneficios do jejum intermitente",9999,68,alimentacao,Alimentação,"jejum intermitente",f,,pytrends,"2026-05-18 10:35:12.70582+00","2026-05-18 10:35:12.70582+00"
0f645d56-7878-477f-8c70-5672a64bbb4b,"oque é endometriose",7400,68,menopausa,Menopausa,endometriose,f,,pytrends,"2026-04-20 08:30:47.705551+00","2026-04-20 08:30:47.705551+00"
0f6be4f2-dd64-4995-b29d-e95cc94b8ff3,"o meu nome não é ansiedade",9999,100,saude-mental,"Saúde Mental",ansiedade,f,,pytrends,"2026-09-09 16:20:00.970958+00","2026-09-09 16:20:00.970958+00"
0f850cd8-6276-4b0b-bea5-7c9ff7403cdf,"chá para enxaqueca",9999,92,saude-mental,"Saúde Mental",enxaqueca,f,,pytrends,"2026-08-31 13:17:23.533109+00","2026-08-31 13:17:23.533109+00"
0ffc66b0-6bb7-4031-8361-8a2ebdd088fe,"enxaqueca com aura sintomas",150,44,saude-mental,"Saúde Mental",enxaqueca,f,,pytrends,"2026-09-14 12:23:46.605277+00","2026-09-14 12:23:46.605277+00"
10d2d6d0-2fe2-4d85-b613-bab916e239c1,"doença do refluxo gastroesofágico",70,84,alimentacao,Alimentação,"refluxo gastroesofágico",f,,pytrends,"2026-06-01 12:01:13.173101+00","2026-06-01 12:01:13.173101+00"
10d49e9d-2760-4d4f-bc9b-08f04b9ed816,cinebench,1100,28,saude-mental,"Saúde Mental",stress,f,,pytrends,"2026-08-17 07:06:21.376046+00","2026-08-17 07:06:21.376046+00"
1131b10c-6686-4caf-bb5b-23cf00efec63,"ziekte van alzheimer",4800,84,saude-mental,"Saúde Mental",alzheimer,f,,pytrends,"2026-04-20 08:34:26.386351+00","2026-04-20 08:34:26.386351+00"
11365e7a-6a2b-482d-8fbb-306c8b3447aa,"ansiedade sintomas físicos",4300,68,saude-mental,"Saúde Mental",ansiedade,f,,pytrends,"2026-09-07 12:05:16.051264+00","2026-09-07 12:05:16.051264+00"
11700b58-0bcf-4589-ba47-13cbb1c580e7,"burnout legends soundtrack",2050,84,saude-mental,"Saúde Mental",burnout,f,,pytrends,"2026-08-24 07:14:33.412583+00","2026-08-24 07:14:33.412583+00"
117e799c-7c2f-45f3-8c64-584ef9bb7ffe,"dia nacional do doente com avc",9999,100,emergentes,Emergentes,avc,f,,pytrends,"2026-04-06 08:10:42.850302+00","2026-04-06 08:10:42.850302+00"
11e8e731-72c1-4023-a730-219a867f3596,"avc toy",9999,100,emergentes,Emergentes,avc,f,,pytrends,"2026-09-09 16:29:37.813115+00","2026-09-09 16:29:37.813115+00"
1249d417-fd78-4868-9068-5c0d64c891ef,"menopausa precoce sintomas",110,100,menopausa,Menopausa,"menopausa precoce",f,,pytrends,"2026-09-09 16:18:43.701517+00","2026-09-09 16:18:43.701517+00"
12aea98d-8564-4daf-a91a-8214080d5ef4,"o'que é um avc",1250,28,emergentes,Emergentes,avc,f,,pytrends,"2026-03-28 00:15:24.259585+00","2026-03-28 00:15:24.259585+00"
12b6aab7-4fed-44ca-808f-a406952ba1d1,"nike anti stress",300,60,saude-mental,"Saúde Mental",stress,f,,pytrends,"2026-04-06 08:08:56.141499+00","2026-04-06 08:08:56.141499+00"
13102835-2555-49c9-8600-03ec30ffd995,"jejum intermitente de 7 dias emagrece quantos quilos",9999,100,alimentacao,Alimentação,"jejum intermitente",f,,pytrends,"2026-08-31 13:22:47.89736+00","2026-08-31 13:22:47.89736+00"
136365d3-9c2c-4a94-b4c6-fe651143c620,"ataques de pânico sintomas",50,52,saude-mental,"Saúde Mental",pânico,f,,pytrends,"2026-05-18 10:23:53.257339+00","2026-05-18 10:23:53.257339+00"
136a0d83-ecc9-481f-9c48-8a7d60c7fcbc,"o que causa avc",50,10,emergentes,Emergentes,avc,t,,pytrends,"2026-09-07 12:14:50.713035+00","2026-09-07 12:14:50.713035+00"
13c42a60-a743-4e2e-8d9e-d81488ac3f59,"alzheimer causas",9999,92,saude-mental,"Saúde Mental",alzheimer,f,,pytrends,"2026-06-01 12:03:04.636423+00","2026-06-01 12:03:04.636423+00"
14081a62-e48c-45fe-b65a-378428346f7b,"medicamentos para ansiedade",70,20,saude-mental,"Saúde Mental",ansiedade,f,,pytrends,"2026-08-17 07:06:10.156928+00","2026-08-17 07:06:10.156928+00"
14232566-d86f-4f45-abcc-ee3a62f02f17,"how to reduce stress at work",9999,92,saude-mental,"Saúde Mental",stress,f,,pytrends,"2026-09-14 12:20:58.303157+00","2026-09-14 12:20:58.303157+00"
14cc971a-d559-4dbf-946a-bd300eea19c6,"diferença entre solidão e solitude",7300,92,saude-mental,"Saúde Mental",solidão,t,,pytrends,"2026-03-30 07:59:29.447904+00","2026-03-30 07:59:29.447904+00"
15602fac-74d3-468c-af2d-bbb7a16021cc,"surviving sepsis campaign guidelines 2026",130,68,emergentes,Emergentes,sepsis,f,,pytrends,"2026-06-01 11:53:35.893388+00","2026-06-01 11:53:35.893388+00"
156c21dc-92b5-4a33-a2f0-5dbe6f78d766,"o que provoca o avc",110,28,emergentes,Emergentes,avc,t,,pytrends,"2026-06-08 11:21:55.134642+00","2026-06-08 11:21:55.134642+00"
15bbd936-ca96-4109-a56d-393cc7fdedd2,"refluxo gastroesofágico tem cura",9999,60,alimentacao,Alimentação,"refluxo gastroesofágico",f,,pytrends,"2026-03-28 00:20:56.393699+00","2026-03-28 00:20:56.393699+00"
162ef4bf-0567-4bea-b149-118e20306598,"candidíase genital tratamento",9999,100,menopausa,Menopausa,candidíase,f,,pytrends,"2026-08-31 13:15:24.198333+00","2026-08-31 13:15:24.198333+00"
175a356f-5e91-4ce5-a2fa-bfe6d739f0b8,"depressão reativa",4750,52,saude-mental,"Saúde Mental",depressão,f,,pytrends,"2026-09-07 12:12:44.373894+00","2026-09-07 12:12:44.373894+00"
179f769f-a6ce-4959-8c03-75da25cd5f0c,"avc tronco encefálico",9999,76,emergentes,Emergentes,avc,f,,pytrends,"2026-08-03 10:21:17.267746+00","2026-08-03 10:21:17.267746+00"
17dc2ad2-546c-423c-9136-9a36969ace3a,"enxaqueca causas",140,28,saude-mental,"Saúde Mental",enxaqueca,f,,pytrends,"2026-05-18 10:28:18.261849+00","2026-05-18 10:28:18.261849+00"
18100963-98ae-4d34-87a4-b2c4ad659276,"doença lúpus",250,84,emergentes,Emergentes,lúpus,f,,pytrends,"2026-04-06 08:12:58.949254+00","2026-04-06 08:12:58.949254+00"
1827f677-32e2-4c72-b212-0a6b893e3e4d,"t score osteoporose",9999,100,menopausa,Menopausa,osteoporose,f,,pytrends,"2026-09-07 12:09:02.973437+00","2026-09-07 12:09:02.973437+00"
