"query","search interest","increase percent"
"ansiedade sintomas",100,"-9%"
"sintomas ansiedade",96,"-7%"
"sintomas de ansiedade",57,"-9%"
"depressão",29,"3%"
"crise ansiedade",26,"50%"
"ataque ansiedade",25,"-10%"
"ataque de ansiedade",25,"-1%"
"crise de ansiedade",23,"40%"
"depressão e ansiedade",20,"10%"
"ansiedade e depressão",20,"10%"
"ansiedade generalizada",13,"-10%"
"o que é ansiedade",13,"10%"
"ansiedade o que é",13,"10%"
"ataques de ansiedade",12,"-40%"
"acalmar ansiedade",12,"10%"
"comprimidos ansiedade",12,"20%"
"teste ansiedade",11,"-20%"
"ansiedade teste",11,"-20%"
"ansiedade social",11,"8%"
"controlar ansiedade",10,"-30%"
"depressao",9,"8%"
"tratamento ansiedade",9,"-20%"
"ansiedade tratamento",9,"-20%"
"comprimidos para ansiedade",9,"20%"
"sintomas da ansiedade",9,"10%"
"medicamento ansiedade",8,"20%"
"crises de ansiedade",8,"-20%"
"transtorno de ansiedade",8,"-20%"
"teste de ansiedade",8,"-20%"
"ansiedade medicação",8,"70%"
"sintomas ataque de ansiedade",8,"-1%"
"sintomas de ataque de ansiedade",8,"-3%"
"ataque de ansiedade sintomas",8,"-3%"
"crise ansiedade sintomas",7,"30%"
"sintomas de crise de ansiedade",7,"30%"
"crise de ansiedade sintomas",7,"30%"
"sintomas crise de ansiedade",7,"30%"
"meditação ansiedade",7,"-30%"
"medicamentos para ansiedade",7,"-10%"
"acalmar a ansiedade",7,"20%"
"ansiedade como tratar",7,"-20%"
"como tratar ansiedade",6,"-20%"
"valdispert",6,"20%"
"valdispert ansiedade",6,"20%"
"medicamento para ansiedade",6,"5%"
"depressão sintomas",6,"-10%"
"ansiedade como acalmar",5,"7%"
"como acalmar ansiedade",5,"7%"
"dor no peito ansiedade",5,"10%"
"combater ansiedade",5,"-40%"
