id,term,title,classification,source,url,created_at,keyword_id,eixo,explicacao,data_publicacao
ef826a7e-a6d9-4f86-aac9-9192463eb667,"jejum intermitente","Jejum, água com limão e hidratos de carbono: sete mitos e verdades sobre nutrição",ENGANADOR,Polígrafo,https://poligrafo.sapo.pt/saude/jejum-agua-com-limao-e-hidratos-de-carbono-sete-mitos-e-verdades-sobre-nutricao/,"2026-03-08 11:08:46.269547+00",fa3f2208-0d08-4ccb-ba47-ab2084989670,,,
d29e55f5-7d99-412b-9d35-615abb235efa,"terapia hormonal","Terapia hormonal causa cancro? Análise dos estudos recentes",IMPRECISO,"Health Feedback",https://science.feedback.org/review/dozens-of-clinical-trials-ongoing-to-investigate-whether-vitamin-d-prevents-covid-19-no-firm-evidence-yet/,"2026-03-08 11:08:46.269547+00",76c4b1bc-ae64-41ca-b57f-75b87c56b447,,,
1d01c708-e0ab-4db3-a369-db31e8ad29dd,"mpox portugal","Mpox só se transmite através de contacto sexual? Fact-check",FALSO,Observador,https://observador.pt/factchecks/fact-check-mpox-so-se-transmite-atraves-de-contacto-sexual/,"2026-03-08 11:08:46.269547+00",db9df232-e277-4390-a2c5-e2b6cd8dda38,,,
ed11aa54-4520-4114-8827-2897e4c81c7d,"suplementos alimentares","Vitamina D previne covid-19? Falta de evidência científica","SEM EVIDÊNCIA","Science Feedback",https://science.feedback.org/review/dozens-of-clinical-trials-ongoing-to-investigate-whether-vitamin-d-prevents-covid-19-no-firm-evidence-yet/,"2026-03-08 11:08:46.269547+00",c7e49577-876b-4db0-8d52-40151efddfad,,,
398d5802-f945-49a5-9594-84854f397d15,"fitoterapia menopausa","Está provado que beber sumo de maracujá emagrece?",ENGANADOR,Polígrafo,https://poligrafo.sapo.pt/fact-check/esta-provado-que-beber-sumo-de-maracuja-emagrece/,"2026-03-08 11:08:46.269547+00",e111eb9e-8610-45e0-bb3b-f06acb4ab416,,,
c3b6dd6b-722a-4c74-8a0e-f5e39a93c668,ansiedade,"Tomar magnésio cura a ansiedade completamente",FALSO,Polígrafo,https://poligrafo.sapo.pt/fact-check/magnesio-ansiedade,"2026-03-08 11:22:32.086121+00",91a7df8f-676d-4053-8e62-f97b5df4ba0f,,,
0bd474cc-409b-4110-82cd-c293c9cac87c,ansiedade,"Respirar fundo 10 vezes elimina ataques de pânico",ENGANADOR,"Observador Fact-Checks",https://observador.pt/factchecks/respiracao-panico,"2026-03-08 11:22:32.086121+00",91a7df8f-676d-4053-8e62-f97b5df4ba0f,,,
81c7a2ed-1c69-49c5-a21a-55e185a5f3cb,burnout,"Burnout é apenas preguiça disfarçada",FALSO,Polígrafo,https://poligrafo.sapo.pt/fact-check/burnout-preguica,"2026-03-08 11:22:32.086121+00",e39430ea-a287-4d68-9848-3558a4a4ae30,,,
241e03b7-0c3d-4e8d-a92f-efbccba74237,burnout,"Férias de uma semana curam o burnout","SEM EVIDÊNCIA","Science Feedback",https://science.feedback.org/burnout-ferias,"2026-03-08 11:22:32.086121+00",e39430ea-a287-4d68-9848-3558a4a4ae30,,,
ee3ba451-386d-483f-80c3-2ab49dd3d1a2,TDAH,"TDAH só existe em crianças",FALSO,Polígrafo,https://poligrafo.sapo.pt/fact-check/tdah-adultos,"2026-03-08 11:22:32.086121+00",f882429f-2743-4121-bf34-c4d983fb31e5,,,
