id,question,growth_percent,relative_volume,axis,axis_label,cluster,is_question,keyword_id,source,last_seen_at,updated_at
0000cbc0-7926-438a-b529-e5c4c406c271,"como tratar tdah depois de adulto",0,35,saude-mental,"Saúde Mental","TDAH adulto",t,,autocomplete,"2026-09-07 12:23:05.881262+00","2026-09-07 12:23:05.881262+00"
000c6296-28b5-4d96-ab2d-f50b9ed03b53,"tratamento para colesterol alto em caes",0,10,alimentacao,Alimentação,"colesterol alto",t,,autocomplete,"2026-09-07 12:25:50.322258+00","2026-09-07 12:25:50.322258+00"
004514f5-5dfd-4dd7-863c-92b802b72e6d,"tratamento para demência em idosos",0,10,saude-mental,"Saúde Mental",demência,t,,autocomplete,"2026-09-07 12:23:52.872707+00","2026-09-07 12:23:52.872707+00"
005aa8f4-220d-4468-a4b9-08cb761687c9,"é normal ter depressão pós parto",0,10,saude-mental,"Saúde Mental",depressão,t,,autocomplete,"2026-09-07 12:23:00.049455+00","2026-09-07 12:23:00.049455+00"
005f9490-0d65-4e82-b211-d744985ee4f4,"primeiros sintomas de cancro da mama",0,60,menopausa,Menopausa,"cancro da mama",t,,autocomplete,"2026-09-07 12:20:39.406502+00","2026-09-07 12:20:39.406502+00"
0060547f-f121-45d6-af58-35f10398d0ef,"sintomas de tdah em adultos teste gratuito",0,75,saude-mental,"Saúde Mental","TDAH adulto",t,,autocomplete,"2026-09-07 12:23:05.881262+00","2026-09-07 12:23:05.881262+00"
0064cf35-0cc4-4a4a-95ef-f6c1b0c31c75,"causas de colesterol alto y triglicerídeos",0,10,alimentacao,Alimentação,"colesterol alto",t,,autocomplete,"2026-06-15 12:52:19.487505+00","2026-06-15 12:52:19.487505+00"
00a6ec13-7505-415e-9b5b-e2282e7a5c83,"sindrome de ovario policistico como tratar",0,85,menopausa,Menopausa,"síndrome do ovário poliquístico",t,,autocomplete,"2026-09-07 12:25:15.014102+00","2026-09-07 12:25:15.014102+00"
00afd601-cc6b-4ae6-9346-0bf0031db1a5,"sintomas de sepsis en recien nacidos",0,55,emergentes,Emergentes,sepsis,t,,autocomplete,"2026-08-10 08:19:18.587872+00","2026-08-10 08:19:18.587872+00"
00bc14a5-a3ae-4d38-9081-64902ade8f6b,"fobia social sintomas",0,10,saude-mental,"Saúde Mental","fobia social",t,,autocomplete,"2026-09-07 12:23:29.371249+00","2026-09-07 12:23:29.371249+00"
00bf5c34-1aff-4815-9671-8d52d010277d,"lupus tratamento sus",0,10,emergentes,Emergentes,lúpus,t,,autocomplete,"2026-09-07 12:19:34.949963+00","2026-09-07 12:19:34.949963+00"
